[     236ms] [LOG] Angular is running in development mode. @ http://localhost:4200/@fs/Users/rrxx/rdPersonal/Trabalho/licitacao_auto_angular/.angular/cache/21.1.3/licitacao_auto_angular/vite/deps/chunk-3DEWNUCS.js?v=8b79a97d:10730
[     409ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ http://localhost:8083/licitaflow/api/users/me/preferences:0
[     454ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[     454ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[     454ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  157518ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:4200/@vite/client:864
[  170089ms] [LOG] Angular is running in development mode. @ http://localhost:4200/@fs/Users/rrxx/rdPersonal/Trabalho/licitacao_auto_angular/.angular/cache/21.1.3/licitacao_auto_angular/vite/deps/chunk-3DEWNUCS.js?v=8b79a97d:10730
[  170384ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  170384ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  170384ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  170400ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ http://localhost:8083/licitaflow/api/users/me/preferences:0
[  273956ms] [LOG] [vite] server connection lost. Polling for restart... @ http://localhost:4200/@vite/client:864
[  298603ms] [LOG] Angular is running in development mode. @ http://localhost:4200/@fs/Users/rrxx/rdPersonal/Trabalho/licitacao_auto_angular/.angular/cache/21.1.3/licitacao_auto_angular/vite/deps/chunk-RFUZ6HC7.js?v=b70e230d:10730
[  299213ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ http://localhost:8083/licitaflow/api/users/me/preferences:0
[  299252ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  299252ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  299252ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  384427ms] [LOG] Angular is running in development mode. @ http://localhost:4200/@fs/Users/rrxx/rdPersonal/Trabalho/licitacao_auto_angular/.angular/cache/21.1.3/licitacao_auto_angular/vite/deps/chunk-RFUZ6HC7.js?v=b70e230d:10730
[  384783ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  384783ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  384783ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  384873ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ http://localhost:8083/licitaflow/api/users/me/preferences:0
[  384427ms] [LOG] Angular is running in development mode. @ http://localhost:4200/@fs/Users/rrxx/rdPersonal/Trabalho/licitacao_auto_angular/.angular/cache/21.1.3/licitacao_auto_angular/vite/deps/chunk-RFUZ6HC7.js?v=b70e230d:10730
[  389614ms] [LOG] Angular is running in development mode. @ http://localhost:4200/@fs/Users/rrxx/rdPersonal/Trabalho/licitacao_auto_angular/.angular/cache/21.1.3/licitacao_auto_angular/vite/deps/chunk-RFUZ6HC7.js?v=b70e230d:10730
[  389961ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  389961ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  389961ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  390095ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ http://localhost:8083/licitaflow/api/users/me/preferences:0
[  389614ms] [LOG] Angular is running in development mode. @ http://localhost:4200/@fs/Users/rrxx/rdPersonal/Trabalho/licitacao_auto_angular/.angular/cache/21.1.3/licitacao_auto_angular/vite/deps/chunk-RFUZ6HC7.js?v=b70e230d:10730
[  389961ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  389961ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  389961ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  390095ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ http://localhost:8083/licitaflow/api/users/me/preferences:0
[  398654ms] [LOG] Angular is running in development mode. @ http://localhost:4200/@fs/Users/rrxx/rdPersonal/Trabalho/licitacao_auto_angular/.angular/cache/21.1.3/licitacao_auto_angular/vite/deps/chunk-RFUZ6HC7.js?v=b70e230d:10730
[  399106ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  399106ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  399106ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  399197ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ http://localhost:8083/licitaflow/api/users/me/preferences:0
[  402191ms] [LOG] Angular is running in development mode. @ http://localhost:4200/@fs/Users/rrxx/rdPersonal/Trabalho/licitacao_auto_angular/.angular/cache/21.1.3/licitacao_auto_angular/vite/deps/chunk-RFUZ6HC7.js?v=b70e230d:10730
[  402485ms] [ERROR] Failed to load resource: the server responded with a status of 500 () @ http://localhost:8083/licitaflow/api/users/me/preferences:0
[  402536ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  402536ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  402536ms] [VERBOSE] [DOM] Password field is not contained in a form: (More info: https://goo.gl/9p2vKq) %o @ http://localhost:4200/configuracoes:0
[  410266ms] [LOG] Angular is running in development mode. @ http://localhost:4200/@fs/Users/rrxx/rdPersonal/Trabalho/licitacao_auto_angular/.angular/cache/21.1.3/licitacao_auto_angular/vite/deps/chunk-RFUZ6HC7.js?v=b70e230d:10730
